block_size,m,num_elements,cpu_insert,cpu_query,gpu_insert,gpu_query
32,16384,1024,0.000898075,0.000272015,0.000297147,6.282e-05
32,16384,4096,0.00287229,0.00196272,0.000119529,0.00010842
32,16384,16384,0.0115294,0.010925,0.000341578,0.000329093
32,16384,65536,0.0518295,0.0487902,0.0012219,0.00121309
32,16384,262144,0.19046,0.190271,0.00477864,0.0047686
32,16384,1048576,0.751339,0.875565,0.0189527,0.0189185
32,65536,1024,0.000789312,0.000218286,6.3137e-05,4.993e-05
32,65536,4096,0.00321521,0.0010479,0.000113689,8.8018e-05
32,65536,16384,0.012376,0.00751806,0.000307871,0.000291105
32,65536,65536,0.0461908,0.0456023,0.00110952,0.00110358
32,65536,262144,0.187737,0.192793,0.00432599,0.00432507
32,65536,1048576,0.695373,0.698715,0.0189086,0.0189322
32,262144,1024,0.000641441,0.00018444,6.0273e-05,3.8803e-05
32,262144,4096,0.00277944,0.000620719,0.000106001,6.874e-05
32,262144,16384,0.0110776,0.00344408,0.000305115,0.00025365
32,262144,65536,0.044502,0.0279484,0.00111131,0.00107568
32,262144,262144,0.174266,0.17101,0.00432395,0.00432391
32,262144,1048576,0.692542,0.703052,0.0171814,0.0172294
32,1048576,1024,0.00066553,0.000140275,5.8102e-05,4.0306e-05
32,1048576,4096,0.00262934,0.000571382,0.00010141,6.2387e-05
32,1048576,16384,0.0114091,0.00251015,0.000300489,0.000176466
32,1048576,65536,0.0441506,0.0143559,0.00110396,0.000914488
32,1048576,262144,0.176577,0.111727,0.00431921,0.00418035
32,1048576,1048576,0.707976,0.707122,0.0171617,0.0172154
32,4194304,1024,0.000673725,0.000138287,6.6505e-05,2.4746e-05
32,4194304,4096,0.00263567,0.000564012,0.000125146,5.4777e-05
32,4194304,16384,0.0113386,0.00244554,0.000380516,0.000136046
32,4194304,65536,0.0444838,0.0109656,0.00141726,0.000657221
32,4194304,262144,0.179145,0.0586389,0.00554135,0.00381264
32,4194304,1048576,0.723389,0.461195,0.0221261,0.0185035
32,16777216,1024,0.000852408,0.000175285,0.000107087,2.2122e-05
32,16777216,4096,0.00353527,0.000647858,0.000198776,4.7959e-05
32,16777216,16384,0.0123966,0.00240854,0.000533092,0.000126545
32,16777216,65536,0.0464084,0.00991052,0.00191096,0.000473969
32,16777216,262144,0.188907,0.0450503,0.00736772,0.00258078
32,16777216,1048576,0.747255,0.244191,0.0292719,0.0157961
64,16384,1024,0.000719156,0.000232683,6.0243e-05,5.193e-05
64,16384,4096,0.00273903,0.00180286,7.7639e-05,7.5207e-05
64,16384,16384,0.0108293,0.0107706,0.000286844,0.000260362
64,16384,65536,0.0433934,0.0459016,0.000960329,0.00095985
64,16384,262144,0.177794,0.178578,0.00370699,0.00371341
64,16384,1048576,0.752926,0.760785,0.0147063,0.0147724
64,65536,1024,0.000739572,0.000203515,7.6964e-05,4.7077e-05
64,65536,4096,0.00310759,0.000915861,8.0849e-05,6.8911e-05
64,65536,16384,0.0118823,0.00747435,0.000268333,0.000257094
64,65536,65536,0.0468346,0.0472308,0.000955968,0.000952518
64,65536,262144,0.174276,0.179986,0.00370368,0.00371268
64,65536,1048576,0.87835,0.791666,0.0147297,0.0147786
64,262144,1024,0.000760617,0.000142983,9.5972e-05,3.7509e-05
64,262144,4096,0.00313321,0.000610805,7.9004e-05,5.5457e-05
64,262144,16384,0.0122627,0.0039966,0.000267526,0.000229607
64,262144,65536,0.0504041,0.0309257,0.000954487,0.000936116
64,262144,262144,0.187185,0.205614,0.00372699,0.0037691
64,262144,1048576,0.796484,0.745275,0.014731,0.0147683
64,1048576,1024,0.000645253,0.000212835,6.077e-05,2.8952e-05
64,1048576,4096,0.00309267,0.000581053,7.6019e-05,5.4073e-05
64,1048576,16384,0.0116015,0.00273639,0.000263168,0.000160475
64,1048576,65536,0.0471589,0.0152273,0.000949937,0.000807106
64,1048576,262144,0.184614,0.116364,0.00370219,0.00364763
64,1048576,1048576,0.847163,1.08689,0.0147222,0.0147794
64,4194304,1024,0.000841611,0.000181568,6.2804e-05,3.6171e-05
64,4194304,4096,0.00323897,0.000705067,0.000101217,5.6349e-05
64,4194304,16384,0.0129735,0.00281508,0.000322782,0.000122031
64,4194304,65536,0.0487405,0.0117213,0.00117166,0.000548286
64,4194304,262144,0.184476,0.0616885,0.00456023,0.00315745
64,4194304,1048576,0.733136,0.467782,0.0191771,0.0164291
64,16777216,1024,0.00087787,0.000176719,0.000112371,2.286e-05
64,16777216,4096,0.00309606,0.00060445,0.000179038,4.5493e-05
64,16777216,16384,0.0125659,0.0024,0.000532682,0.000120482
64,16777216,65536,0.052246,0.0111839,0.00191667,0.00040996
64,16777216,262144,0.195654,0.0459059,0.00746547,0.00217448
64,16777216,1048576,0.75989,0.250794,0.0296945,0.0128357
128,16384,1024,0.000674769,0.000218623,6.0741e-05,5.155e-05
128,16384,4096,0.00263526,0.00179968,8.0753e-05,7.5244e-05
128,16384,16384,0.010796,0.0108792,0.000265174,0.000260866
128,16384,65536,0.0462627,0.0466204,0.00095426,0.000957886
128,16384,262144,0.180934,0.188889,0.00371254,0.00371982
128,16384,1048576,0.71245,0.718795,0.0147227,0.0147647
128,65536,1024,0.000676613,0.000168407,6.0215e-05,5.0068e-05
128,65536,4096,0.00363154,0.00121334,8.3838e-05,7.3018e-05
128,65536,16384,0.0111816,0.00730261,0.000268773,0.000257102
128,65536,65536,0.0495593,0.0496021,0.000954479,0.000961566
128,65536,262144,0.195147,0.201902,0.00371125,0.00371771
128,65536,1048576,0.769833,0.813387,0.0146959,0.0147636
128,262144,1024,0.000677099,0.000149386,6.1871e-05,4.8354e-05
128,262144,4096,0.00272991,0.000651973,7.8686e-05,6.0086e-05
128,262144,16384,0.0127608,0.00430665,0.00027307,0.000231684
128,262144,65536,0.0476098,0.0302053,0.000970018,0.000949365
128,262144,262144,0.209648,0.195568,0.00379018,0.00377922
128,262144,1048576,0.775716,0.783608,0.0149124,0.0149887
128,1048576,1024,0.000678077,0.000260047,6.1989e-05,3.1728e-05
128,1048576,4096,0.00291186,0.000598729,8.357e-05,6.1173e-05
128,1048576,16384,0.0117234,0.00312433,0.000267211,0.000156619
128,1048576,65536,0.0482881,0.0156918,0.000963906,0.00080428
128,1048576,262144,0.192013,0.122671,0.00374997,0.00370518
128,1048576,1048576,0.764113,0.754332,0.0149237,0.0149911
128,4194304,1024,0.000815818,0.00014741,6.8134e-05,3.1738e-05
128,4194304,4096,0.00308999,0.000646808,0.00010727,6.374e-05
128,4194304,16384,0.0119591,0.00257998,0.000330093,0.00013044
