block_size,m,num_elements,cpu_insert,cpu_query,gpu_insert,gpu_query
32,16384,1024,0.000898075,0.000272015,0.000113153,6.069e-05
32,16384,4096,0.00287229,0.00196272,0.000121375,0.000106641
32,16384,16384,0.0115294,0.010925,0.000324353,0.000324954
32,16384,65536,0.0518295,0.0487902,0.0011948,0.00120339
32,16384,262144,0.19046,0.190271,0.00469346,0.00469669
32,16384,1048576,0.751339,0.875565,0.0186064,0.0186823
32,65536,1024,0.000789312,0.000218286,6.3917e-05,4.6884e-05
32,65536,4096,0.00321521,0.0010479,0.000118792,8.4979e-05
32,65536,16384,0.012376,0.00751806,0.000310419,0.000287455
32,65536,65536,0.0461908,0.0456023,0.0010839,0.00108993
32,65536,262144,0.187737,0.192793,0.00425036,0.00427031
32,65536,1048576,0.695373,0.698715,0.0185824,0.0174626
32,262144,1024,0.000641441,0.00018444,5.829e-05,3.6948e-05
32,262144,4096,0.00277944,0.000620719,0.000106222,6.7991e-05
32,262144,16384,0.0110776,0.00344408,0.000303453,0.000248146
32,262144,65536,0.044502,0.0279484,0.00109959,0.00106572
32,262144,262144,0.174266,0.17101,0.00425111,0.00426958
32,262144,1048576,0.692542,0.703052,0.0168944,0.017012
32,1048576,1024,0.00066553,0.000140275,5.2519e-05,3.8348e-05
32,1048576,4096,0.00262934,0.000571382,9.7607e-05,6.0372e-05
32,1048576,16384,0.0114091,0.00251015,0.000294195,0.000170764
32,1048576,65536,0.0441506,0.0143559,0.00108432,0.000900531
32,1048576,262144,0.176577,0.111727,0.00424635,0.00412398
32,1048576,1048576,0.707976,0.707122,0.0168894,0.0170005
32,4194304,1024,0.000673725,0.000138287,6.1236e-05,2.3192e-05
32,4194304,4096,0.00263567,0.000564012,0.000125191,5.3336e-05
32,4194304,16384,0.0113386,0.00244554,0.000382688,0.000133187
32,4194304,65536,0.0444838,0.0109656,0.00140737,0.000653054
32,4194304,262144,0.179145,0.0586389,0.00555539,0.0037805
32,4194304,1048576,0.723389,0.461195,0.0221174,0.0184498
32,16777216,1024,0.000852408,0.000175285,0.00010939,2.1114e-05
32,16777216,4096,0.00353527,0.000647858,0.000197207,4.6934e-05
32,16777216,16384,0.0123966,0.00240854,0.000537507,0.000124927
32,16777216,65536,0.0464084,0.00991052,0.00190191,0.000472121
32,16777216,262144,0.188907,0.0450503,0.0073589,0.00256047
