block_size,m,num_elements,cpu_insert,cpu_query,gpu_insert,gpu_query
32,16384,1024,0.000898075,0.000272015,6.5812e-05,6.1567e-05
32,16384,4096,0.00287229,0.00196272,0.000117121,0.000109387
32,16384,16384,0.0115294,0.010925,0.000329998,0.000337065
32,16384,65536,0.0518295,0.0487902,0.00121708,0.00124376
32,16384,262144,0.19046,0.190271,0.00474787,0.00485952
32,16384,1048576,0.751339,0.875565,0.0187353,0.0175895
32,65536,1024,0.000789312,0.000218286,6.4294e-05,5.7437e-05
32,65536,4096,0.00321521,0.0010479,0.000205187,0.000235335
32,65536,16384,0.012376,0.00751806,0.00069969,0.000761189
32,65536,65536,0.0461908,0.0456023,0.00265144,0.0029893
32,65536,262144,0.187737,0.192793,0.0105313,0.0118467
32,65536,1048576,0.695373,0.698715,0.0420274,0.0472936
32,262144,1024,0.000641441,0.00018444,0.000226794,0.000212102
32,262144,4096,0.00277944,0.000620719,0.000822355,0.000879227
32,262144,16384,0.0110776,0.00344408,0.00314749,0.0041195
32,262144,65536,0.044502,0.0279484,0.0125048,0.0178301
32,262144,262144,0.174266,0.17101,0.0498429,0.0721718
32,262144,1048576,0.692542,0.703052,0.19925,0.288544
64,16384,1024,0.000719156,0.000232683,5.2217e-05,5.0819e-05
64,16384,4096,0.00273903,0.00180286,7.5148e-05,7.5116e-05
64,16384,16384,0.0108293,0.0107706,0.000258972,0.00026197
64,16384,65536,0.0433934,0.0459016,0.000940053,0.000973536
64,16384,262144,0.177794,0.178578,0.00362481,0.00374822
64,16384,1048576,0.752926,0.760785,0.0144106,0.0149291
64,65536,1024,0.000739572,0.000203515,9.2422e-05,6.5543e-05
64,65536,4096,0.00310759,0.000915861,0.000111338,0.000122892
64,65536,16384,0.0118823,0.00747435,0.000381056,0.000390118
64,65536,65536,0.0468346,0.0472308,0.00140138,0.00146762
64,65536,262144,0.174276,0.179986,0.0054331,0.0057474
64,65536,1048576,0.87835,0.791666,0.0217297,0.0228366
64,262144,1024,0.000760617,0.000142983,0.000106421,9.1672e-05
64,262144,4096,0.00313321,0.000610805,0.000394244,0.000339218
64,262144,16384,0.0122627,0.0039966,0.00145357,0.00166383
64,262144,65536,0.0504041,0.0309257,0.00557395,0.00684404
64,262144,262144,0.187185,0.205614,0.0222543,0.0276769
64,262144,1048576,0.796484,0.745275,0.0884897,0.110219
128,16384,1024,0.000674769,0.000218623,5.0929e-05,5.0217e-05
128,16384,4096,0.00263526,0.00179968,7.4295e-05,7.2773e-05
128,16384,16384,0.010796,0.0108792,0.000252296,0.000259575
128,16384,65536,0.0462627,0.0466204,0.000924126,0.00095704
128,16384,262144,0.180934,0.188889,0.00358946,0.00372265
128,16384,1048576,0.71245,0.718795,0.0142711,0.0148163
128,65536,1024,0.000676613,0.000168407,5.9419e-05,4.9574e-05
128,65536,4096,0.00363154,0.00121334,7.6284e-05,7.3508e-05
128,65536,16384,0.0111816,0.00730261,0.000259756,0.000262359
128,65536,65536,0.0495593,0.0496021,0.000966192,0.000983462
128,65536,262144,0.195147,0.201902,0.003781,0.00383479
128,65536,1048576,0.769833,0.813387,0.0148602,0.0152487
128,262144,1024,0.000677099,0.000149386,6.6582e-05,5.6107e-05
128,262144,4096,0.00272991,0.000651973,0.000205743,0.000176941
128,262144,16384,0.0127608,0.00430665,0.000745564,0.00074447
128,262144,65536,0.0476098,0.0302053,0.00279587,0.00301279
128,262144,262144,0.209648,0.195568,0.0109882,0.0120796
128,262144,1048576,0.775716,0.783608,0.0429604,0.0482332
256,16384,1024,0.000683672,0.000215266,5.2913e-05,5.0131e-05
256,16384,4096,0.00262711,0.00185529,7.7983e-05,7.8774e-05
256,16384,16384,0.0108733,0.0111233,0.000258259,0.000263648
256,16384,65536,0.044994,0.0447471,0.000932776,0.000973379
256,16384,262144,0.181323,0.18096,0.00362823,0.00376634
256,16384,1048576,0.724715,0.727991,0.0144002,0.0149684
256,65536,1024,0.00071722,0.000172402,6.1168e-05,4.9958e-05
256,65536,4096,0.00274606,0.000870504,7.8524e-05,7.4626e-05
256,65536,16384,0.0114193,0.0071465,0.000263105,0.000263157
256,65536,65536,0.0447654,0.0451866,0.000950181,0.00098295
256,65536,262144,0.178521,0.181588,0.00368896,0.00380062
256,65536,1048576,0.725524,0.729285,0.0159037,0.0164076
256,262144,1024,0.000716704,0.000191153,5.5743e-05,5.1936e-05
256,262144,4096,0.00266417,0.000675094,0.000137547,9.8583e-05
256,262144,16384,0.011483,0.00344189,0.000411312,0.000388275
256,262144,65536,0.0449718,0.028809,0.00148477,0.0014755
256,262144,262144,0.181818,0.180385,0.00583504,0.00584697
256,262144,1048576,0.726051,0.727299,0.023246,0.0233309
512,16384,1024,0.000671874,0.000223197,5.3279e-05,5.0812e-05
512,16384,4096,0.00286459,0.00166594,7.6e-05,7.7802e-05
512,16384,16384,0.01112,0.0112551,0.000255135,0.000262672
512,16384,65536,0.0449068,0.0447452,0.000929715,0.00097002
512,16384,262144,0.178776,0.178256,0.00362345,0.00376428
512,16384,1048576,0.716502,0.731124,0.0144422,0.01498
512,65536,1024,0.000673234,0.000157409,5.2792e-05,4.9283e-05
