block_size,m,num_elements,cpu_insert,cpu_query,gpu_insert,gpu_query
32,16384,1024,0.000898075,0.000272015,6.7329e-05,6.3558e-05
32,16384,4096,0.00287229,0.00196272,0.000118579,0.000111097
32,16384,16384,0.0115294,0.010925,0.000331672,0.000341002
32,16384,65536,0.0518295,0.0487902,0.00123756,0.00125991
32,16384,262144,0.19046,0.190271,0.00480327,0.00493389
32,16384,1048576,0.751339,0.875565,0.0191196,0.0196195
32,65536,1024,0.000789312,0.000218286,5.6906e-05,5.7871e-05
32,65536,4096,0.00321521,0.0010479,0.000203596,0.000188709
32,65536,16384,0.012376,0.00751806,0.000702261,0.000770001
32,65536,65536,0.0461908,0.0456023,0.0027093,0.00302203
32,65536,262144,0.187737,0.192793,0.0106197,0.0119713
32,65536,1048576,0.695373,0.698715,0.0423703,0.0477899
32,262144,1024,0.000641441,0.00018444,0.0002266,0.000212795
32,262144,4096,0.00277944,0.000620719,0.000850432,0.000931353
32,262144,16384,0.0110776,0.00344408,0.00316213,0.00415885
32,262144,65536,0.044502,0.0279484,0.0125496,0.0179681
32,262144,262144,0.174266,0.17101,0.0500313,0.0727247
32,262144,1048576,0.692542,0.703052,0.200086,0.290781
64,16384,1024,0.000719156,0.000232683,5.2577e-05,5.9591e-05
64,16384,4096,0.00273903,0.00180286,8.281e-05,7.5539e-05
64,16384,16384,0.0108293,0.0107706,0.000254729,0.000274546
64,16384,65536,0.0433934,0.0459016,0.000935384,0.000987395
64,16384,262144,0.177794,0.178578,0.00362887,0.00383909
64,16384,1048576,0.752926,0.760785,0.0144383,0.015283
64,65536,1024,0.000739572,0.000203515,5.3343e-05,4.9353e-05
64,65536,4096,0.00310759,0.000915861,0.000106154,0.000103602
64,65536,16384,0.0118823,0.00747435,0.000384414,0.000395002
64,65536,65536,0.0468346,0.0472308,0.00140543,0.00148915
64,65536,262144,0.174276,0.179986,0.00553078,0.0058002
64,65536,1048576,0.87835,0.791666,0.0219456,0.0232051
64,262144,1024,0.000760617,0.000142983,0.000114864,8.3637e-05
64,262144,4096,0.00313321,0.000610805,0.000395745,0.000344411
64,262144,16384,0.0122627,0.0039966,0.00142926,0.00164714
