block_size,m,num_elements,cpu_insert,cpu_query,gpu_insert,gpu_query
32,16384,1024,0.000898075,0.000272015,5.3721e-05,4.8946e-05
32,16384,4096,0.00287229,0.00196272,9.116e-05,9.1384e-05
32,16384,16384,0.0115294,0.010925,0.000273938,0.000271538
32,16384,65536,0.0518295,0.0487902,0.00101797,0.00101554
32,16384,262144,0.19046,0.190271,0.00393722,0.00390722
32,16384,1048576,0.751339,0.875565,0.0156666,0.01553
32,65536,1024,0.000789312,0.000218286,3.9337e-05,3.6627e-05
32,65536,4096,0.00321521,0.0010479,8.353e-05,7.6055e-05
32,65536,16384,0.012376,0.00751806,0.000264812,0.000242586
32,65536,65536,0.0461908,0.0456023,0.000912192,0.000905704
32,65536,262144,0.187737,0.192793,0.0035641,0.00354038
32,65536,1048576,0.695373,0.698715,0.0141709,0.0140906
32,262144,1024,0.000641441,0.00018444,3.8998e-05,2.9007e-05
32,262144,4096,0.00277944,0.000620719,0.000114809,6.1562e-05
32,262144,16384,0.0110776,0.00344408,0.000249987,0.000214874
32,262144,65536,0.044502,0.0279484,0.000917548,0.000894641
32,262144,262144,0.174266,0.17101,0.00356439,0.00353965
32,262144,1048576,0.692542,0.703052,0.0141599,0.0140774
32,1048576,1024,0.00066553,0.000140275,3.9597e-05,3.1525e-05
32,1048576,4096,0.00262934,0.000571382,8.349e-05,5.948e-05
32,1048576,16384,0.0114091,0.00251015,0.000249502,0.000146888
32,1048576,65536,0.0441506,0.0143559,0.0009119,0.000770702
32,1048576,262144,0.176577,0.111727,0.00356176,0.00347269
32,1048576,1048576,0.707976,0.707122,0.0141622,0.0140726
32,4194304,1024,0.000673725,0.000138287,4.6824e-05,2.0558e-05
32,4194304,4096,0.00263567,0.000564012,9.2569e-05,4.4506e-05
32,4194304,16384,0.0113386,0.00244554,0.000273813,0.000113757
32,4194304,65536,0.0444838,0.0109656,0.000918196,0.000516779
32,4194304,262144,0.179145,0.0586389,0.00356443,0.00295086
32,4194304,1048576,0.723389,0.461195,0.0141523,0.0138292
32,16777216,1024,0.000852408,0.000175285,8.6955e-05,2.0097e-05
32,16777216,4096,0.00353527,0.000647858,0.000177457,4.3549e-05
32,16777216,16384,0.0123966,0.00240854,0.000541715,0.000107473
32,16777216,65536,0.0464084,0.00991052,0.00195414,0.000358643
